case_id,concept,severity,symptom,topology,show_output,expected_fault,osi_layer,expected_next_command,expected_fix
NET-012,DNS,Medium,"PC can ping the web server by IP address but cannot access it using its hostname","PC1 -> SW1 -> R1 -> DNS Server and Web Server","PC1 IP: 192.168.10.25; DNS Server: 192.168.20.20; ping 192.168.20.30 succeeds; ping webserver.local fails","PC is configured with an incorrect DNS server address","Layer 7","ipconfig /all","Configure the PC to use the correct DNS server"
NET-013,DNS,High,"Multiple PCs can reach the DNS server by IP address but hostname resolution fails","PCs -> SW1 -> R1 -> DNS Server","ping 192.168.20.20 succeeds; nslookup webserver.local: DNS request timed out","The DNS service is unavailable or not responding","Layer 7","nslookup webserver.local","Verify that the DNS service is enabled and running on the DNS server"
NET-014,DNS,Medium,"PC can resolve some hostnames but cannot resolve the internal web server hostname","PC1 -> SW1 -> R1 -> DNS Server -> Web Server","nslookup mail.local succeeds; nslookup webserver.local: Non-existent domain","DNS record for webserver.local is missing","Layer 7","show running-config or inspect DNS records","Create the missing DNS record for webserver.local"
NET-015,Static Routing,High,"PC1 can reach its local router but cannot reach the server network behind R2","PC1 -> R1 -> R2 -> Server; R1 and R2 are connected by a routed link","show ip route: R1 has connected routes for 192.168.10.0/24 and 10.0.0.0/30 but no route to 192.168.30.0/24","R1 is missing a static route to the server network","Layer 3","show ip route","Add a static route to 192.168.30.0/24 using R2 as the next hop"
NET-016,Static Routing,High,"Traffic from R1 to the remote network is sent to the wrong router","PC1 -> R1 -> R2 -> R3 -> Server","show ip route: S 192.168.30.0/24 [1/0] via 10.0.0.6; R2 address on R1 link: 10.0.0.2","Static route uses an incorrect next-hop address","Layer 3","show ip route 192.168.30.0","Change the static route to use the correct next-hop address"
NET-017,Static Routing,High,"PC1 cannot reach the remote server even though a static route exists","PC1 -> R1 -> R2 -> Server","show ip route: S 192.168.30.0/24 via 10.0.0.2; actual server network: 192.168.40.0/24","Static route points to the wrong destination network","Layer 3","show ip route","Configure a static route for the correct destination network"
NET-018,Static Routing,Medium,"A static route appears in the configuration but traffic is not forwarded through it","PC1 -> R1 -> R2 -> Server","show ip route: S 192.168.30.0/24 is directly connected via GigabitEthernet0/1; GigabitEthernet0/1 is down","Static route depends on an interface that is down","Layer 1 / Layer 3","show ip interface brief","Restore the interface or configure the route using the correct reachable next hop"
NET-019,Dynamic Routing,High,"R1 cannot learn the network behind R2 even though both routers are connected","R1 -> R2 -> Server; OSPF is intended between R1 and R2","show ip ospf neighbor: no neighbors; show ip interface brief: R1 G0/1 10.0.0.1/30 up/up; R2 G0/0 10.0.0.2/30 up/up","OSPF adjacency is not forming between R1 and R2","Layer 3","show ip ospf interface","Check OSPF configuration, area, router IDs, and interface participation on both routers"
NET-020,Dynamic Routing,High,"R1 and R2 form an OSPF neighbor relationship but R1 does not have a route to the server network","R1 -> R2 -> Server","show ip ospf neighbor: R2 FULL; show ip route: no OSPF route to 192.168.30.0/24; R2 LAN: 192.168.30.0/24","The server network is not being advertised into OSPF by R2","Layer 3","show ip ospf database","Advertise 192.168.30.0/24 in the OSPF configuration on R2"
NET-021,Dynamic Routing,Medium,"Routers do not exchange routes using RIP","R1 -> R2 -> R3; RIP is configured on all routers","show ip protocols: R1 uses RIP version 2; R2 uses RIP version 1","RIP version configuration is inconsistent between routers","Layer 3","show ip protocols","Configure all routers to use the same RIP version"
NET-022,ACL,High,"PC in VLAN 10 can reach the router but cannot reach the server in VLAN 30","PC1 -> SW1 -> R1 -> Server; VLAN 10 and VLAN 30 are routed by R1","show access-lists: 10 deny ip 192.168.10.0 0.0.0.255 192.168.30.0 0.0.0.255; show ip interface g0/0: access group 10 in","ACL explicitly denies traffic from VLAN 10 to VLAN 30","Layer 3","show access-lists","Modify or remove the ACL rule that blocks VLAN 10 traffic to VLAN 30"
NET-023,ACL,High,"Traffic that should be permitted is being blocked after an ACL was configured","PC1 -> R1 -> Server","show access-lists: 101 permit ip 192.168.10.0 0.0.0.255 any; show ip interface g0/0: access group 101 out","ACL is applied in the wrong direction for the intended traffic flow","Layer 3","show ip interface g0/0","Apply the ACL in the correct direction for the intended traffic"
NET-024,ACL,Medium,"Guest users cannot access the internet even though the internet connection is working","Guest VLAN -> R1 -> ISP Router","show access-lists: 110 deny ip 192.168.50.0 0.0.0.255 any; show ip interface vlan 50: access group 110 in","ACL blocks all traffic from the guest VLAN","Layer 3","show access-lists 110","Change the ACL to permit the required guest traffic while keeping internal networks protected"
NET-025,ACL,High,"Only one internal server can be reached while other permitted servers cannot","PC1 -> R1 -> Multiple Servers","show access-lists: 120 permit ip host 192.168.10.10 host 192.168.30.10; no other permit statements","Traffic to other servers is blocked by the implicit deny at the end of the ACL","Layer 3","show access-lists 120","Add explicit permit rules for the required server destinations"
NET-026,NAT,High,"Internal PCs can reach the router but cannot access the internet","LAN -> R1 -> ISP Router -> Internet; internal network is 192.168.10.0/24","show ip nat translations: no translations; show running-config: no ip nat inside source configured","NAT overload is not configured for the internal network","Layer 3","show running-config | include ip nat","Configure PAT/NAT overload for the internal network using the router's outside interface"
NET-027,NAT,High,"Internal clients cannot access external networks after NAT was configured","LAN -> R1 -> ISP Router","show running-config interface g0/0: ip nat outside; show running-config interface g0/1: ip nat outside; LAN interface should be inside","The LAN interface is incorrectly configured as NAT outside instead of NAT inside","Layer 3","show running-config interface gigabitEthernet0/1","Configure the LAN-facing interface as ip nat inside"
NET-028,NAT,Medium,"Some internal PCs can access the internet through NAT while others cannot","LAN -> R1 -> ISP Router; LAN network is 192.168.10.0/24","access-list 1 permit 192.168.20.0 0.0.0.255; ip nat inside source list 1 interface g0/0 overload","NAT ACL permits the wrong internal network","Layer 3","show access-lists 1","Change the NAT ACL to permit the actual internal network 192.168.10.0/24"
NET-029,Wireless,Medium,"Wireless clients connect to the access point but cannot reach the internal network","Wireless Client -> Access Point -> Switch -> R1; wireless clients should be placed in VLAN 50","show vlan brief: VLAN 50 active; show interfaces trunk: VLAN 50 not allowed on trunk between switch and access point","Wireless client VLAN is not being carried across the trunk","Layer 2","show interfaces trunk","Allow VLAN 50 on the trunk connecting the switch and wireless access point"
NET-030,Wireless,High,"Wireless clients can connect to the SSID but cannot obtain an IP address","Wireless Client -> Access Point -> Switch -> R1; DHCP server provides addresses for VLAN 50","show ip interface vlan 50: 192.168.50.1/24 up/up; show running-config interface vlan 50: no ip helper-address; DHCP server: 192.168.10.10","DHCP relay is missing for the wireless client VLAN","Layer 3","show running-config interface vlan 50","Configure ip helper-address 192.168.10.10 on the VLAN 50 interface"
